Line,Measure,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
11,      Equipment,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,662.4,726.9,695.7,658,679,731.2,801.6,870.8,898.3,836.1,644.3,746.7,847.9,905.6,947.2,1008.2
12,      Intellectual property products,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,391.1,426.1,428,425.9,442.2,464.9,495,517.5,542.4,558.8,550.9,561.3,581.3,603.7,624.1,654.2
13,    Residential,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,633.8,637.9,643.7,682.7,744.5,818.9,872.6,806.6,654.8,497.7,392.2,382.4,384.5,436.5,488.4,496.2
14,  Change in private inventories,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,75.5,66.2,-46.2,22.5,22.6,71.4,64.3,71.6,35.5,-33.7,-147.6,58.2,37.6,57,63.5,70.6
15,Net exports of goods and services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-377.1,-477.8,-502.1,-584.3,-641.9,-734.8,-782.3,-794.3,-712.6,-557.8,-395.4,-458.8,-459.4,-452.5,-420.4,-452.6
16,  Exports,40.5,33.5,27.8,21.8,21.9,24.4,25.7,27,34,33.6,35.5,40.4,41.4,27.3,23,24.8,34.7,74.9,85.4,67.3,66.7,58.4,71.5,68.4,63.9,66.9,74.1,86.3,93.9,81.2,89.5,105.1,105.6,111,118.9,132.9,136.6,146,149.4,161.2,169,187,190.3,205.1,243.8,263,261.4,272.8,279.4,308.8,339.4,376,380.6,351.5,342.5,370.4,382.8,412.2,457.1,531.2,592.7,645,687.6,735.3,759.4,826.5,911.5,986,1103.5,1129.3,1159.1,1258.4,1184.9,1164.5,1185,1300.6,1381.9,1506.8,1646.4,1740.8,1587.7,1776.6,1898.3,1960.1,2019.8,2084.7
17,    Goods,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,819.4,902.2,846.7,817.8,833.1,904.5,970.6,1062,1141.5,1211.5,1065.1,1218.3,1297.6,1344.9,1382.9,1438.9
18,    Services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,338.6,354.3,336.6,345.7,350.8,395.4,410.3,443.5,504.1,528.3,522.6,558,600.6,614.7,636.6,645.2
19,  Imports,52.7,45.8,40,33.1,34.5,35.3,46.2,45.7,51.4,40,42,43,52.9,48,60.5,63.3,67.3,55.8,53,61.8,59.6,70.5,73.3,79.7,87.2,82.9,92.9,100.4,104.7,109.6,121.2,122.8,122,135.8,139.5,146.9,162.5,186.7,200.3,230.1,243.2,253.6,267.1,297.2,311,303.9,270.1,323,358.3,389.3,395.8,369.5,379.3,374.5,421.7,524.4,558.4,606.1,642,667.2,696.6,721.5,720.4,771,837.6,937.5,1012.5,1100.6,1248.8,1394.8,1536.2,1736.2,1687,1748.8,1826.9,2035.3,2164.2,2301,2359,2298.6,1983.2,2235.4,2357.7,2412.6,2440.3,2537.3
20,    Goods,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1286.9,1455.4,1408.4,1461.1,1533,1704.1,1817.9,1925.4,1960.9,1887.9,1590.3,1826.7,1932.1,1973.1,1991.5,2072.4
21,    Services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,245.4,276.4,274.6,283.6,289.6,326.4,341.1,370.5,393.5,408.2,392.9,407.8,424.2,438.7,448.4,464.4
22,Government consumption expenditures and gross investment,165.7,182.5,190.1,184.2,178,199.7,206,239.1,229.4,246.8,268.3,277.9,467.1,1084.2,1626,1826.3,1604.5,566.8,482.5,510.6,566.1,569.6,778.9,931.7,994.8,931.1,901,903.2,944.8,976.7,1000.9,1007,1060.6,1129.5,1157.1,1185.9,1224.2,1331,1436.4,1485.7,1488,1457.7,1431,1424.2,1419.6,1451.8,1483.8,1491.6,1509.2,1553.7,1582.6,1612.5,1628,1658,1721.6,1783.2,1904,2007.7,2066.9,2094.8,2155.1,2224.3,2250.9,2262.1,2243.3,2245.5,2257.5,2279.2,2322,2370.5,2451.7,2498.2,2592.4,2705.8,2764.3,2808.2,2826.2,2869.3,2914.4,2994.8,3089.1,3091.4,2997.4,2953.9,2894.5,2889.7
23,  Federal,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,815.3,817.7,849.8,910.8,973,1017.1,1034.8,1060.9,1078.7,1152.3,1217.7,1270.7,1236.4,1214.4,1145.3,1123.5
24,    National defense,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,516.9,512.3,530,567.3,615.4,652.7,665.5,678.8,695.6,748.1,788.3,813.5,795,768.7,717.7,702.4
25,    Nondefense,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,298.5,305.4,319.7,343.3,357.5,364.5,369.4,382.1,383.1,404.2,429.4,457.1,441.4,445.7,427.5,421
26,  State and local,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1643.6,1689.1,1751.5,1802.4,1795.3,1792.8,1792.3,1808.8,1836.1,1842.4,1871.4,1820.8,1761,1739.5,1748.4,1765.2
27,Residual,-1.5,-26.8,-43.9,-56.8,-52,-54.9,-49.7,-57.5,-47.5,-61.5,-63.9,-57.7,-109.9,-335.4,-547.9,-621.1,-509.5,-43.6,-8.4,-12.9,-53.7,-27.7,-93.3,-160,-179,-157.3,-118.2,-113.6,-128.7,-155.3,-137.1,-131.3,-146.9,-150.8,-146.1,-137.5,-127.2,-139.1,-172.8,-172,-160.6,-157.3,-135.9,-114.7,-82.3,-88.4,-118.3,-103.5,-88.2,-63.8,-43.9,-41.3,-21.1,-85.8,-104.5,-76.1,-106,-128.6,-127.4,-108.6,-96.3,-106,-114.1,-100,-88.6,-69.4,-60.1,-45.9,-30.7,-22.1,-112.4,-83.6,-90.9,-70.5,-45.5,-19.6,-2.2,-3.8,-9.7,-13.6,0.2,-1.1,-10.8,-17.3,-22.5,-29.1
